id,rol,estado,edad,estilo,usuario_input
1,Victima,CDMX,28,Neutral,"Me perdí en el cerro ya no encuentro el sendero y está empezando a oscurecer"
2,Victima,Nuevo León,32,Neutral,"No traigo agua y llevo horas caminando, la botella está vacía y tengo mucha sed"
3,Victima,Jalisco,25,Neutral,"Se está haciendo de noche y no encuentro el camino de regreso al campamento"
4,Victima,CDMX,30,Neutral,"Me estoy quedando sin batería y no sé cómo llegar a la carretera"
5,Victima,Quintana Roo,27,Neutral,"La tormenta está llegando y no tengo dónde refugiarme"
6,Victima,Guanajuato,35,Neutral,"Perdí el sendero marcado llevo como 2 horas dando vueltas sin encontrar la salida"
7,Victima,CDMX,29,Neutral,"No hay señal en el cerro y no puedo pedir ayuda, el agua se me está acabando"
8,Victima,Querétaro,33,Neutral,"Llevo varias horas perdido, ya casi anochece y no traigo linterna"
9,Victima,Puebla,26,Neutral,"El camino se cerró por un derrumbe, no puedo seguir y no sé qué hacer"
10,Victima,Morelos,34,Neutral,"Me quedé sin agua y el sol está muy fuerte, no sé si pueda llegar a la salida"
11,Victima,CDMX,31,Neutral,"Estoy atrapado en la montaña por la tormenta, no puedo bajar ni subir"
12,Victima,Nuevo León,27,Neutral,"La niebla está muy espesa y no veo el sendero me estoy desorientando"
13,Victima,Jalisco,36,Neutral,"Se me acabó la comida y todavía me falta mucho para llegar a la civilización"
14,Victima,CDMX,24,Neutral,"El río creció y no puedo cruzarlo, estoy atrapado en esta orilla"
15,Victima,CDMX,38,Emocional,"¡Me perdí en el cerro y está oscureciendo! Tengo mucho miedo, no sé qué hacer"
16,Victima,Nuevo León,29,Emocional,"¡Se me acabó el agua! Estoy desesperado, el sol está muy fuerte y no tengo señal"
17,Victima,Jalisco,33,Emocional,"¡No encuentro el camino de regreso! Estoy asustado, ya está oscureciendo y no traje linterna"
18,Victima,CDMX,31,Emocional,"¡La tormenta me atrapó en el cerro! No tengo dónde resguardarme, tengo mucho miedo"
19,Victima,Quintana Roo,27,Emocional,"¡Perdí el sendero y ya casi anochece! Estoy desesperado, no sé si pueda salir de aquí"
20,Victima,Guanajuato,35,Emocional,"¡Se me acabó el agua y llevo horas perdido! Tengo mucha sed y me siento muy débil"
21,Victima,CDMX,30,Emocional,"¡El río creció y no puedo cruzarlo! Estoy atrapado, no sé qué hacer y está oscureciendo"
22,Victima,CDMX,28,Caotico,"¡PERDIDO CERRO OSCURECE NO SEÑAL AYUDA AYUDA!"
