id,rol,edad,estilo,usuario_input
1,Victima,28,Neutral,"Me torcí el tobillo derecho jugando fútbol, puedo caminar pero me duele al apoyar el pie"
2,Victima,32,Neutral,"Me caí de la bicicleta y me raspé la rodilla, está sangrando un poco pero no es profundo"
3,Victima,25,Neutral,"Me golpeé la mano contra la puerta, tengo un moretón y me duele mover los dedos"
4,Victima,30,Neutral,"Creo que me esguincé la muñeca levantando una caja pesada, está inflamada pero puedo moverla"
5,Victima,27,Neutral,"Me corté con un vidrio en el dedo, es un corte pequeño pero no para de sangrar"
6,Victima,35,Neutral,"Me torcí la rodilla bajando escaleras, me duele y no puedo estirar bien la pierna"
7,Victima,29,Neutral,"Me caí en la calle y me raspé la palma de la mano, tiene arena y sangra un poquito"
8,Victima,31,Neutral,"Me golpeé el codo contra la mesa, tengo un chichón y no puedo doblar bien el brazo"
9,Victima,26,Neutral,"Me doblé el dedo gordo del pie jugando, está morado y me duele al caminar"
10,Victima,33,Neutral,"Me caí de las escaleras y me golpeé la espalda, tengo moretones y me duele al moverme"
11,Victima,24,Neutral,"Me corté la mano con una lata no para de sangrar"
12,Victima,29,Neutral,"Me torcí el hombro cargando una bolsa pesada, me duele levantar el brazo"
13,Victima,34,Neutral,"Me golpeé la cabeza con el marco de la puerta me duele mucho"
14,Victima,22,Neutral,"Me resbalé en el baño y me golpeé la cadera, tengo moretón y me duele al caminar"
15,Victima,38,Emocional,"Tengo miedo ¡Me caí de la bicicleta y me raspé todo el brazo! Me duele muchísimo, está sangrando"
16,Victima,27,Emocional,"Ayudame ¡Me torcí el tobillo y no puedo caminar! Me duele horrible, tengo miedo de que esté roto"
17,Victima,15,Emocional,"Siento que me voy a morir ¡Me corté el dedo con un cuchillo y no para de sangrar! Estoy muy asustada y me duele mucho"
18,Victima,25,Emocional,"¡Me esguincé la muñeca y está muy hinchada! No puedo mover los dedos, me duele muchísimo ayuda"
19,Victima,29,Emocional,"Ayudame porfavor ¡Me golpeé el codo muy fuerte y no puedo doblar el brazo! Me duele horrible, tengo miedo"
20,Victima,32,Emocional,"¡Me caí en la calle y me raspé la rodilla bien feo! Sangra mucho y me arde, ¡ayuda!"
21,Victima,26,Emocional,"¡Me torcí el hombro y no puedo levantar el brazo! Me duele muchísimo, tengo mucho miedo"
22,Victima,23,Caotico,"DUELE ¡ME CAÍ Y ME GOLPEÉ LA RODILLA SANGRÉ NO PUEDO CAMINAR AYUDA DUELE!"
23,Victima,28,Caotico,"DUELE AYUDA ¡ME CORTÉ DEDO SANGRE NO PARA DUELE NO MUEVO AYUDA RÁPIDO!"
24,Victima,25,Caotico,"AYUDA AYUDA ¡TORCIÓN TOBILLO INFLAMADO DUELE NO CAMINO AYUDA AYUDA!"
25,Victima,31,Caotico,"¡GOLPE CABEZA DUELE VEO BORROSO NO ME CAIGO AYUDA!"
26,Victima,29,Caotico,"MIEDO ¡BRAZO RASGADO SANGRANTE DUELE MUCHO NO MUEVO AYUDA!"
27,Victima,8,Infantil,"Me caí de la bici y me raspé la rodilla, me duele y me está sangrando, ayudame porfa"
28,Victima,10,Infantil,"Me torcí el dedo jugando, está morado y me duele, no puedo moverlo bien"
29,Victima,9,Infantil,"Me golpeé la cabeza con la puerta, me duele y tengo un chichón gigante"
30,Victima,11,Infantil,"Me corté el dedo con una lata, sangra y me duele mucho, tengo miedo"
31,Victima,35,Formal,"Me torcí el tobillo jugando fútbol, está inflamado y me duele mucho al tocarlo"
32,Victima,40,Formal,"Me corté el dedo índice y me está sangrado, qué hago?"
33,Victima,38,Slang,"Me metí un santo tranquazo en la rodilla tengo un moretón y no puedo doblar bien la pierna"
34,Victima,32,Slang,"Wey me torcí el tobillo jugando fut, no puedo caminar bien está hinchado"
35,Victima,27,Slang,"No mames no mames, me caí de la moto y me raspé el brazo, está sangrando y me arde horrible"
36,Victima,30,Errores,"Me caí de la bici y me raspé la rodilla, me duele mucho y me está sangrando un poquito"
37,Victima,22,Neutral,"Me golpeé la espinilla con el borde de la cama, tengo moretón y me duele un poco."
38,Victima,26,Neutral,"Me torcí el cuello durmiendo me duele girar la cabeza y tengo el cuello tieso"
39,Victima,28,Neutral,"Me corté el pulgar con una navaja, es un corte pequeño pero profundo y me está sangrando"
40,Victima,34,Neutral,"Me resbalé en el parque y me golpeé la muñeca, está inflamada pero puedo mover los dedos"
41,Testigo,30,Neutral,"Mi amigo se torció el tobillo jugando, está hinchado y no puede caminar"
42,Testigo,28,Neutral,"Mi hermano se cayó de la bicicleta y se raspó el brazo, sangra un poco pero está consciente"
43,Testigo,32,Neutral,"Ayuda mi compañero se golpeó la mano con una herramienta, tiene un moretón y no puede mover los dedos"
44,Testigo,25,Neutral,"Mi prima se cortó el dedo con un vidrio, es un corte pequeño pero no deja de sangrar"
45,Testigo,29,Neutral,"Un señor se cayó en la calle y se golpeó la rodilla, no puede levantarse solo"
46,Testigo,35,Neutral,"Mi esposa se torció la muñeca levantando una caja, está hinchada y le duele moverla"
47,Testigo,27,Emocional,"¡Mi amigo se golpeó la cabeza muy fuerte! Está sangrando y no sabe dónde está, ¡ayuda!"
48,Testigo,31,Emocional,"¡Mi hermano se cortó la mano y no para de sangrar! Está muy pálido y me dice que se mareó"
49,Testigo,29,Emocional,"¡Mi compañera se cayó de la bicicleta y se raspó todo el brazo! Está sangrando mucho, ¡tiene dolor!"
50,Testigo,24,Emocional,"¡Mi novio se torció el tobillo y no puede caminar! Está muy hinchado y le duele mucho, ¡estoy asustada!"
51,Testigo,26,Caotico,"¡AMIGO CAÍDA CABEZA SANGRE NO SABE DÓNDE ESTÁ AYUDA RÁPIDO!"
52,Testigo,9,Infantil,"Mi hermanito se cayó y se golpeó la rodilla, sangra poquito y llora, ayudame porfavor"
53,Testigo,38,Formal,"Mi amigo se golpeó el brazo contra una tabla, tiene un moretón y le duele moverlo"
54,Testigo,35,Formal,"Mi amigo se cayó y se raspó la rodilla, sangra un poco y no puede caminar bien"
55,Testigo,24,Slang,"Wey, vi a mi compa caerse de la bici, se raspó bien feo el brazo y está sangrando, no mames"
56,Testigo,28,Errores,"Mi amigo se cayo y se golpeo la rodilla sangra un pokito y se queja mucho de dolor"
