id|rol|edad|emocion|categoria_x|text
1|Victima|28|neutral|logistical|Me perdí en el cerro ya no encuentro el sendero y está empezando a oscurecer, no sé qué hacer
2|Victima|32|neutral|logistical|No traigo agua y llevo horas caminando la botella está vacía y tengo mucha sed
3|Victima|25|neutral|logistical|Se está haciendo de noche y no encuentro el camino de regreso al campamento
4|Victima|30|neutral|logistical|Perdí la señal y no sé cómo llegar a la carretera, no sé qué hacer
5|Victima|27|neutral|environmental|La tormenta está llegando y no tengo dónde refugiarme, ¿qué hago?
6|Victima|35|neutral|logistical|Perdí el sendero marcado llevo como 2 horas dando vueltas sin encontrar la salida
7|Victima|29|neutral|logistical|No hay señal en el cerro y no puedo pedir ayuda el agua se me está acabando
8|Victima|33|neutral|logistical|Llevo varias horas perdido ya casi anochece y no traigo linterna
9|Victima|26|neutral|logistical|El camino se cerró por un derrumbe no puedo seguir y no sé qué hacer
10|Victima|34|neutral|logistical|Me quedé sin agua y el sol está muy fuerte, no sé si pueda llegar a la salida, ¿qué hago?
11|Victima|31|neutral|environmental|Estoy atrapado en la montaña por la tormenta no puedo bajar ni subir
12|Victima|27|neutral|environmental|La niebla está muy espesa y no veo el sendero me estoy desorientando
13|Victima|36|neutral|logistical|Se me acabó la comida y todavía me falta mucho para llegar a la civilización
14|Victima|24|neutral|environmental|El río creció y no puedo cruzarlo, estoy atrapado en esta orilla, ¿qué hago?
15|Victima|38|miedo|logistical|Me perdí en el cerro y está oscureciendo Tengo mucho miedo no sé qué hacer
16|Victima|29|miedo|logistical|Se me acabó el agua Estoy desesperado el sol está muy fuerte y no tengo señal
17|Victima|33|miedo|logistical|No encuentro el camino de regreso, estoy asustado, ya está oscureciendo y no traje linterna, ¿qué hago?
18|Victima|31|miedo|environmental|La tormenta me atrapó en el cerro No tengo dónde resguardarme tengo mucho miedo
19|Victima|27|miedo|logistical|Perdí el sendero y ya casi anochece Estoy desesperado no sé si pueda salir de aquí
20|Victima|35|miedo|logistical|Se me acabó el agua y llevo horas perdido Tengo mucha sed y me siento muy débil
21|Victima|30|miedo|environmental|El río creció y no puedo cruzarlo Estoy atrapado no sé qué hacer y está oscureciendo
22|Victima|28|panico|logistical|¡PERDIDO CERRO OSCURECE NO SEÑAL AYUDA AYUDA!
23|Victima|32|panico|logistical|¡AGUA SE ACABÓ SED NO CAMINO NO SALIDA AYUDA!
24|Victima|26|panico|environmental|¡TORMENTA LLEGA NO REFUGIO ATRAPADO AYUDA RÁPIDO!
25|Victima|35|panico|environmental|¡NIEBLA ESPESA NO VEO SENDERO DESORIENTADO AYUDA!
26|Victima|29|panico|environmental|¡RÍO CRECIDO ATRAPADO NO CRUZO OSCURECE AYUDA!
27|Victima|9|neutral|logistical|Me perdí en el cerro con mi papá no encuentro el camino y tengo miedo porque está oscuro
28|Victima|10|neutral|logistical|Se me acabó el agua y tengo mucha sed no sé dónde estoy ayudame porfavor
29|Victima|8|neutral|environmental|Está lloviendo mucho y no tengo dónde esconderme tengo frío y tengo miedo
30|Victima|11|neutral|logistical|Me perdí del grupo y no encuentro el sendero ya está oscureciendo y tengo miedo
31|Victima|34|neutral|logistical|Me perdí en el cerro y ya está oscureciendo no traje linterna y ya casi no tengo señal en el teléfono
32|Victima|38|neutral|logistical|Llevo varias horas sin agua y el sol está muy fuerte me siento muy débil y no encuentro la salida
33|Victima|30|neutral|environmental|La tormenta me atrapó y no tengo dónde protegerme, el agua está subiendo y no puedo avanzar, no sé qué hacer
34|Victima|36|neutral|logistical|El camino está bloqueado por un derrumbe no puedo regresar ni seguir adelante
35|Victima|27|neutral|environmental|La niebla no me deja ver el sendero, llevo horas perdido y el agua se está acabando, no sé qué hacer
36|Victima|32|ansiedad|logistical|Wey me perdí en el cerro y ya está oscureciendo no traje ni linterna estoy bien asustado
37|Victima|29|ansiedad|logistical|No mames se me acabó el agua y llevo horas caminando no veo salida por ningún lado
38|Victima|25|confusion|logistical|Me perdí en el cerro y ya está oscureciendo no tengo señal y el agua se me acabó
39|Victima|32|neutral|environmental|La tormenta me sorprendió en el cerro el agua está subiendo y no puedo cruzar el río
40|Victima|28|neutral|logistical|No tengo señal en el celular y no sé dónde estoy llevo horas caminando
41|Testigo|30|neutral|logistical|Estoy perdido en el cerro con un grupo de personas, ya casi no tenemos agua y está oscureciendo, ¿qué hago?
42|Testigo|28|neutral|logistical|Mi amigo se separó del grupo en el cerro ya no lo encuentro y creo que su teléfono no tiene señal
43|Testigo|32|neutral|environmental|Un compañero se quedó atrapado por la tormenta no puede bajar y no tiene refugio
44|Testigo|25|miedo|logistical|Mi amigo se perdió en el cerro Está oscureciendo y no tiene agua ni señal tengo mucho miedo
45|Testigo|9|miedo|logistical|Mi hermanito se perdió en el cerro no lo encuentro y ya está oscuro tengo miedo ayudame
