id|rol|edad|estilo|categoria_x|text
1|Victima|30|Neutral|golpe_calor|Llevo varias horas caminando bajo el sol me duele la cabeza y tengo mucha sed
2|Victima|35|Neutral|hipotermia|Estoy en el cerro me dio mucho frío tengo escalofríos y no puedo dejar de temblar
3|Victima|28|Neutral|golpe_calor|Hace mucho calor y no he tomado agua me siento muy cansado y con náuseas
4|Victima|32|Neutral|mal_altura|Subí al Nevado de Toluca y me mareé me duele la cabeza y me cuesta respirar
5|Victima|25|Neutral|quemadura_solar|Estuve en la playa todo el día tengo la piel quemada y me duele mucho
6|Victima|40|Neutral|golpe_calor|Llevo horas trabajando en el sol me siento débil y tengo calambres en las piernas
7|Victima|29|Neutral|golpe_calor|Estuve caminando muchas horas tengo la piel roja y me duele la cabeza
8|Victima|33|Neutral|hipotermia|Me perdí en el cerro y pasé la noche sin abrigo tengo mucho frío y no puedo mover bien los dedos ni las manos
9|Victima|26|Neutral|golpe_calor|Llevo todo el día en la obra hace mucho calor me siento mareado y tengo ganas de vomitar
10|Victima|34|Neutral|mal_altura|Subí al Popocatépetl y me sentí mal me duele la cabeza y me falta el aire
11|Victima|31|Neutral|golpe_calor|Hace mucho calor y estoy sudando demasiado me siento cansado y me punza la cabeza
12|Victima|27|Neutral|hipotermia|Estuve bajo la lluvia todo el día ahora tengo escalofríos y me tiembla el cuerpo
13|Victima|36|Neutral|golpe_calor|Caminé mucho bajo el sol y ahora me duele mucho la cabeza y tengo mucha sed
14|Victima|24|Neutral|sin_agua|Me quedé sin agua en el cerro tengo la boca seca y me siento muy débil
15|Victima|38|Emocional|golpe_calor|Llevo horas bajo el sol y me siento muy mal Me duele la cabeza y tengo muchas náuseas
16|Victima|29|Emocional|sin_agua|No he tomado agua en todo el día Me siento muy débil y me tiembla el cuerpo
17|Victima|33|Emocional|hipotermia|Tengo mucho frío No puedo dejar de temblar y no siento bien mis manos
18|Victima|31|Emocional|golpe_calor|Me duele la cabeza horrible Llevo todo el día en el sol y me siento muy mareado
19|Victima|27|Emocional|golpe_calor|Estoy sudando demasiado y no puedo respirar bien El calor está insoportable
20|Victima|35|Emocional|golpe_calor|Me dio un calor muy fuerte y casi me desmayo Estoy mareado y me tiembla todo
21|Victima|30|Emocional|hipotermia|Tengo mucho frío y no puedo calentarme Me tiembla todo el cuerpo no sé qué hacer
22|Victima|28|Caotico|golpe_calor|CALOR FUERTE DOLOR CABEZA NÁUSEA NO AGUANTO AYUDA
23|Victima|32|Caotico|hipotermia|FRÍO EXTREMO TIEMBLO NO PARO DEDOS NO SIENTO AYUDA
24|Victima|26|Caotico|sin_agua|DESHIDRATADO SED MUCHA DÉBIL NO CAMINO AYUDA
25|Victima|35|Caotico|golpe_calor|MAREADO CALOR VOMITAR NO PUEDO LEVANTARME AYUDA
26|Victima|29|Caotico|quemadura_solar|PIEL QUEMADA DUELE MUCHO ROJA NO AGUANTO AYUDA
27|Victima|9|Infantil|golpe_calor|Estuve mucho tiempo en el sol y me duele la cabeza tengo mucha sed y me siento mal
28|Victima|10|Infantil|hipotermia|Hizo mucho frío y me tiembla el cuerpo no puedo calentarme ayudame porfa
29|Victima|8|Infantil|sin_agua|Caminé mucho y no tomé agua tengo la boca seca y me duele la cabeza
30|Victima|11|Infantil|golpe_calor|Me dio calor en el recreo y me mareé me duele la cabeza y la panza
31|Victima|34|Formal|golpe_calor|Estuve expuesto al sol varias horas ahora tengo dolor de cabeza fuerte y muchas náuseas
32|Victima|38|Formal|hipotermia|Tuve mucho frío en el cerro no puedo controlar los escalofríos y mis manos están entumecidas
33|Victima|30|Formal|sin_agua|No tomé suficiente agua con el calor me siento débil y tengo calambres en las piernas
34|Victima|36|Formal|mal_altura|Subí a la montaña y me empecé a sentir mal me duele la cabeza y me falta el aire
35|Victima|27|Slang|golpe_calor|Wey llevo todo el día en el sol y no tomé agua me siento bien mal me duele la cabeza
36|Victima|29|Slang|hipotermia|No mames hace un frío de la chingada no puedo dejar de temblar y no siento las manos
37|Victima|25|Errores|golpe_calor|Llevo oras en el sol y me duele la cabeza tengo muxa sed y me siento debil
38|Victima|32|Neutral|golpe_calor|Hace mucho calor y me siento cansado tengo dolor de cabeza y estoy sudando demasiado
39|Victima|28|Neutral|hipotermia|Estuve en el frío sin chamarra ahora me tiembla el cuerpo y no siento bien los dedos
40|Victima|34|Neutral|quemadura_solar|Caminé todo el día bajo el sol tengo la piel quemada y me duele mucho la cabeza
