id|rol|edad|estilo|text
1|Victima|29|Neutral|Me picó un alacrán en el pie mientras caminaba siento un ardor fuerte y se me está hinchando la pierna
2|Victima|34|Neutral|Una serpiente me mordió la mano en el sendero no sé si es venenosa pero me duele mucho y está sangrando
3|Victima|27|Neutral|Una araña me picó en la pierna mientras dormía tengo una roncha grande y me duele mucho
4|Victima|32|Neutral|Un perro callejero me mordió cuando pasaba tengo una herida profunda y está sangrando
5|Victima|26|Neutral|Una abeja me picó en el cuello y se me está hinchando la garganta me cuesta un poco respirar
6|Victima|30|Neutral|Me encontré con un puma en el cerro se quedó mirándome fijo y no sé si atacar estoy paralizado
7|Victima|35|Neutral|Un jabalí me embistió en el bosque tengo una herida en la pierna y no puedo caminar bien
8|Victima|28|Neutral|Una avispa me picó en el ojo está muy hinchado y no puedo abrirlo bien
9|Victima|31|Neutral|Una serpiente de cascabel me mordió en el tobillo el veneno me está subiendo y siento hormigueo en la pierna
10|Victima|33|Neutral|Un zorro me mordió la mano cuando intenté alimentarlo tengo una herida profunda que sangra
11|Victima|25|Neutral|Una mantarraya me picó el pie en la playa tengo un dolor muy fuerte y está sangrando
12|Victima|29|Neutral|Un alacrán me picó en la espalda cuando me acosté siento ardor y se me está entumeciendo el brazo
13|Victima|34|Neutral|Una serpiente coral me mordió en el dedo no puedo mover bien la mano y me siento mareado
14|Victima|27|Neutral|Un perro me mordió la pierna en el parque la herida es profunda y no para de sangrar
15|Victima|30|Neutral|Una araña violinista me picó en la pierna la piel se está poniendo negra y me duele mucho
16|Victima|34|Emocional|Una serpiente me mordió en la mano y no sé si es venenosa Me duele muchísimo y se me está hinchando el brazo
17|Victima|28|Emocional|Un perro me persiguió y me mordió la pierna La herida está sangrando mucho y tengo miedo de que esté infectada
18|Victima|32|Emocional|Me picó una abeja en la cara y no puedo respirar bien Tengo miedo de ser alérgica ayuda
19|Victima|26|Emocional|Un alacrán me picó en la espalda y siento que me voy a desmayar El dolor es insoportable
20|Victima|29|Emocional|Vi una serpiente y me mordió en el pie antes de que pudiera correr Estoy sangrando mucho y tengo miedo
21|Victima|31|Emocional|Una araña me picó en el brazo y la piel se está poniendo negra Me duele horrible y me siento mareado
22|Victima|33|Emocional|Un jabalí me atacó en el cerro Tengo una herida profunda en la pierna y no puedo caminar ayuda
23|Victima|27|Emocional|Una mantarraya me picó y no para de sangrar Me duele muchísimo y no puedo caminar
24|Victima|30|Caotico|SERPIENTE MORDIÓ MANO VENENO SUBE NO RESPONDO AYUDA
25|Victima|28|Caotico|ALACRÁN PICÓ PIE ARDOR HINCHAZÓN PIERNA AYUDA AYUDA
26|Victima|25|Caotico|ARAÑA PICÓ PIERNA PIEL NEGRA DUELE NO CAMINO AYUDA
27|Victima|32|Caotico|PUMA ENCERRADO MIRÁNDOME FIJO NO ME MUEVO AYUDA
28|Victima|9|Infantil|Una serpiente me mordió el pie en el campo y me duele mucho tengo miedo ayudame porfa
29|Victima|10|Infantil|Un perro me mordió la mano y sangra mucho me duele y tengo miedo de los perros
30|Victima|8|Infantil|Una abeja me picó en el brazo y me duele mucho se me está poniendo rojo y grande
31|Victima|11|Infantil|Un alacrán me picó en la pierna y me duele mucho no puedo caminar ayudame porfa
32|Victima|35|Formal|Sufrí una mordedura de serpiente en el tobillo presento dolor agudo y signos de envenenamiento en la extremidad
33|Victima|38|Formal|Una araña me picó en la pierna la herida presenta necrosis y dolor intenso requiero atención médica
34|Victima|40|Formal|Un perro me mordió el brazo la herida es profunda y presenta sangrado activo necesito atención médica urgente
35|Victima|36|Formal|Sufrí una picadura de alacrán con síntomas de neurotoxicidad requiero evaluación médica inmediata
36|Victima|28|Slang|Wey una serpiente me mordió la mano en el cerro el veneno ya me está subiendo y no siento el brazo está bien culero
37|Victima|32|Slang|No mames un alacrán me picó en el pie y siento que me voy a desmayar el dolor está bien cabrón
38|Victima|26|Errores|Me pico una serpiente en la mano me duele mucho y no siento el brazo estoy asustado
39|Victima|29|Neutral|Un mapache me atacó en el campamento me mordió la mano y tengo una herida profunda
40|Victima|34|Neutral|Una garrapata me picó en la cabeza tengo una roncha grande y me duele mucho
41|Testigo|32|Neutral|Vi a mi amigo ser mordido por una serpiente en el sendero la herida sangra y su brazo se está hinchando
42|Testigo|30|Neutral|Mi hermano fue picado por un alacrán no puede caminar y se está poniendo pálido
43|Testigo|34|Neutral|Mi compañero fue atacado por un perro tiene una herida profunda en la pierna y no para de sangrar
44|Testigo|29|Neutral|Vi a un turista ser picado por una mantarraya en la playa su pie está sangrando y no puede caminar
45|Testigo|27|Neutral|Mi prima fue mordida por una araña la herida se está poniendo negra y le duele mucho
46|Testigo|35|Emocional|Una serpiente mordió a mi amigo Su brazo se está hinchando y está muy pálido ayuda
47|Testigo|31|Emocional|Un jabalí atacó a mi compañero en el bosque Tiene una herida profunda en la pierna y no puede caminar
48|Testigo|28|Caotico|SERPIENTE MORDIÓ AMIGO BRAZO HINCHADO NO RESPONDE AYUDA
49|Testigo|9|Infantil|Un alacrán le pico a mi hermanito se puso muy pálido y no puede caminar tengo miedo
50|Testigo|33|Slang|Wey una serpiente le pico a mi amigo en el cerro el brazo se le puso morado y no siente nada
51|Victima|34|Neutral|Un puma me atacó por la espalda en el sendero, tengo heridas profundas en el hombro
52|Victima|28|Emocional|¡Hay un puma acechándonos! Se quedó quieto mirándonos fijo, no sabemos si atacar o correr, estamos paralizados
53|Testigo|32|Neutral|Vi a un puma cruzar el camino y luego se quedó mirando a unos excursionistas, se escuchaban ruidos
54|Victima|25|Slang|Wey, me encontré a un puma en el cerro y se me quedó viendo 
55|Victima|30|Caotico|¡PUMA EN EL SENDERO SE ACERCA NO PODEMOS HUIR AYUDA RÁPIDO!
56|Victima|40|Formal|Nos encontramos un puma en el sendero y nos esta siguiendo
57|Victima|22|Neutral|Un oso se acercó al campamento y comenzó a destrozar la tienda, tuvimos que huir
58|Victima|27|Emocional|¡Un oso está husmeando alrededor de nuestra tienda! No podemos salir, está muy cerca
59|Victima|35|Slang|Wey un oso nos robó la comida mientras acampábamos
60|Testigo|29|Neutral|Un oso atacó a un excursionista en el sendero, lo vi todo desde lejos, fue horrible
61|Victima|45|Neutral|Un oso polar se acercó a la carpa, no pudimos hacer nada, tuvimos que refugiarnos en el auto
62|Victima|33|Emocional|¡Un oso polar está merodeando el campamento! No podemos salir, es muy peligroso
63|Victima|28|Slang|No mames, un oso polar nos estuvo siguiendo por horas, no nos dejaba avanzar
64|Victima|38|Formal|He sufrido un ataque de un oso durante una expedición estoy sangrando mucho 
65|Victima|26|Caotico|¡OSO ATACÓ EN EL CAMPAMENTO HERIDAS EN EL BRAZO AYUDA!
66|Victima|34|Neutral|Un tiburón me mordió la pierna mientras surfeaba, no sentí dolor al principio pero ahora sangra mucho
67|Victima|29|Emocional|¡Un tiburón está rodeando nuestra tabla! No podemos remar hacia la orilla, tengo mucho miedo
68|Victima|24|Slang|Wey, un tiburón me mordió la pierna en la playa
69|Victima|32|Neutral|Un cocodrilo me arrastró al agua mientras cruzaba un río, logré soltarme pero tengo heridas profundas
70|Victima|28|Emocional|¡Un cocodrilo atacó nuestra lancha! Estamos volcando y no podemos salir del agua
71|Victima|45|Slang|Wey, un cocodrilo se llevó a mi perro mientras caminábamos por el río
72|Victima|30|Neutral|Un caimán nos persiguió en el pantano, tuvimos que subirnos a un árbol para escapar
73|Victima|34|Caotico|¡COCODRILO NOS PERSIGUE EN EL RÍO ATRAPADOS AYUDA!
74|Victima|40|Formal|He sido atacado por un cocodrilo mientras nadaba un río me duele el abdomen
75|Victima|27|Neutral|Una manada de lobos nos rodeó en el bosque
76|Victima|32|Emocional|¡Lobos aullando muy cerca del campamento! No podemos dormir, están rodeando la tienda
77|Victima|35|Slang|No mames, un lobo nos siguió todo el camino de regreso, no nos quitaba la mirada
78|Victima|25|Neutral|Un jabalí me embistió mientras caminaba, tengo una herida abierta en la pierna
79|Victima|29|Emocional|¡Un jabalí salvaje nos atacó en el campo! Está muy agresivo y no podemos huir
80|Victima|33|Slang|Wey un jabalí nos embistió y nos rompió la carpa qué hacemos
81|Victima|45|Neutral|Un alce me atacó y me hirió en el pecho, tuve que refugiarme detrás de un árbol
82|Victima|28|Emocional|¡Un alce está embistiendo el coche! No podemos salir, estamos atrapados
83|Victima|34|Caotico|¡ALCE EMBISTIÓ COCHE ATRAPADOS AYUDA RÁPIDO!
84|Victima|30|Formal|He sufrido un ataque de un alce durante una caminata, me duele mucho el pecho y las costillas
85|Victima|22|Neutral|Un bisonte cargó contra mí, logré esquivarlo pero tengo moretones en el costado
86|Victima|27|Emocional|¡Un bisonte nos impide el paso! Está en medio del sendero y no podemos pasar
87|Victima|32|Slang|No mames, un bisonte nos persiguió por el campo 
88|Testigo|29|Neutral|Un león marino atacó a mi amigo cuando nadaba, le mordió la pierna y lo arrastró
89|Victima|34|Emocional|¡Un león marino me mordió la mano! ayuda
90|Victima|40|Caotico|¡LEÓN MARINO ME ARRASTRÓ AL AGUA NO PUEDO SALIR AYUDA!
100|Victima|28|Neutral|Una medusa me picó en el brazo, el dolor es insoportable y tengo una bola enorme
101|Victima|32|Emocional|¡Una meduga me picó en el pecho! Me cuesta respirar y me siento muy mareado
102|Victima|25|Slang|No mames, una medusa me picó y sentí que me moría, el dolor era fatal
103|Victima|38|Formal|Me pico una medusa 
104|Victima|34|Neutral|Una mantarraya me picó el pie, el dolor es tan intenso que no puedo apoyar la pierna
105|Victima|29|Emocional|¡Una mantarraya me picó y el dolor no se va! No puedo caminar
106|Victima|40|Slang|Wey, una mantarraya me picó mientras caminaba en la orilla, qué dolor tan culero
107|Victima|27|Neutral|Un jabalí me embistió mientras acampaba, la herida es superficial pero duele mucho
108|Victima|33|Emocional|¡Un elefante está destrozando el campamento! No tenemos dónde escondernos
109|Victima|45|Caotico|¡ELEFANTE DESTROZÓ CAMPAMENTO ATRAPADOS AYUDA!

110|Victima|36|Neutral|Un jabalí me pegó en la pierna cuando salía del río me abrio la pierna y no deja de sangrar
111|Victima|29|Emocional|¡Una manada de jabalíes está rodeando nuestra carpa! No podemos salir, se escuchan gruñidos
112|Victima|22|Slang|Un toro me embistió y volé como 3 metros, me duele la espalda no me puedo mover
113|Victima|38|Formal|Un toro me pegó y sali volando me duele mucho la cabeza y me sangra la nariz
114|Victima|45|Neutral|Un alce me persiguió por el bosque tuve que esconderme detrás de unas rocas
115|Victima|31|Emocional|¡Un alce enorme está parado en medio del sendero! No nos deja pasar y resopla fuerte
116|Victima|26|Slang|
117|Victima|40|Caotico|¡ALCE EMBISTIÓ CARRO VENTANA ROTA ATRAPADOS AYUDA!
118|Victima|33|Neutral|Un bisonte se paró frente a nosotros y comenzó a golpear el suelo 
119|Victima|28|Emocional|¡Un bisonte cargó contra nuestro coche! El capó quedó abollado y tenemos miedo de salir
120|Victima|35|Neutral|Un toro me embistió en el corral, me golpeó en el pecho y caí al suelo, me duele mucho respirar
