id|rol|edad|estilo|categoria_x|text
1|Victima|28|Neutral|ataque_cardiaco|Me duele mucho el pecho como si alguien me estuviera apuñalando no puedo respirar
2|Victima|32|Neutral|trauma|Iba manejando y un camión me chocó de frente el volante me aplastó el pecho
3|Victima|27|Neutral|trauma|Me caí de la moto en la carretera tengo raspado todo el brazo y veo la carne
4|Victima|30|Neutral|trauma|Me cayó una lámina en la obra me aplastó la pierna y no la siento
5|Victima|29|Neutral|hemorragia_grave|Me picó una mantarraya en la playa no dejo de sangrar y me duele la pierna
6|Victima|33|Neutral|intoxicacion|Me dio un dolor en la panza bien gacho como si me explotara algo
7|Victima|26|Neutral|hemorragia_grave|Me corté la mano con una sierra no para de sangrar y me estoy mareando
8|Victima|31|Neutral|trauma|Me resbalé en el baño y me quebré la muñeca el hueso se ve atravesado
9|Victima|28|Neutral|herida_balazo|Me dispararon en la pierna en la colonia no para de sangrar y creo que me voy a desmayar
10|Victima|34|Neutral|trauma|Me cayó un block en la cabeza me duele muy fuerte y estoy sangrando un chingo
11|Victima|29|Neutral|hemorragia_grave|Tuve una pelea con mi esposa me golpeó y me cortó el brazo y no para de sangrar
12|Victima|35|Neutral|ataque_cardiaco|Me dio un dolor muy fuerte en el pecho que me sube al brazo y la mandíbula
13|Victima|30|Neutral|trauma|Iba en mi moto y un coche no me vio me estrellé contra la puerta
14|Victima|27|Neutral|ataque_cardiaco|Estaba en mi casa y de repente me dio un dolor bien cabrón en el pecho
15|Victima|33|Neutral|trauma|Me cayó una tabla con clavos en la pierna se me atravesó y no deja de sangrar
16|Victima|31|Neutral|trauma|Iba manejando y se me metió un tráiler me estampé contra el muro me duele todo el cuerpo
17|Victima|28|Neutral|hemorragia_grave|Estaba cortando con un cuchillo y me corté no para la sangre y veo blanco
18|Victima|32|Neutral|trauma|Me caí de un segundo piso en la obra me duele la espalda y no siento mis piernas
19|Victima|29|Neutral|anafilaxia|Me picó un alacrán en el pie se me está hinchando la garganta
20|Victima|34|Neutral|intoxicacion|Traigo un dolor en la panza que no aguanto como si me estuvieran retorciendo las tripas
21|Victima|27|Emocional|ataque_cardiaco|Ayuda necesito ir al hospital Me duele el pecho bien culero no puedo respirar siento que me voy a morir
22|Victima|32|Emocional|trauma|No mames Choqué con un tráiler no siento las piernas y veo borroso tengo mucho miedo
23|Victima|30|Emocional|trauma|Me caí de la moto y veo la carne del brazo No para de sangrar me duele cabrón
24|Victima|28|Emocional|herida_balazo|Me voy a morir No paro de sangrar y me siento mareado creo que me voy a desmayar Me dispararon
25|Victima|33|Emocional|hemorragia_grave|Me picó una mantarraya y no dejo de sangrar tengo mucho dolor ayuda
26|Victima|29|Emocional|intoxicacion|Creo que me voy a morir Me duele la panza horrible No me puedo parar y estoy sudando frío me duele todo
27|Victima|31|Emocional|hemorragia_grave|Necesito ayuda Me corté la mano y no para la sangre Veo todo blanco tengo mucho miedo
28|Victima|34|Emocional|trauma|Ayúdame porfavor me quebré la muñeca El hueso se ve atravesado y sangra no puedo mover los dedos
29|Victima|27|Emocional|trauma|Me cayó un block en la cabeza Estoy sangrando cabrón y siento que me voy a desmayar ayuda
30|Victima|32|Emocional|hemorragia_grave|Necesito ayuda Mi esposa me cortó el brazo con un cuchillo No para de sangrar veo borroso
31|Victima|35|Caotico|ataque_cardiaco|AYUDAME AYUDAME DOLOR PECHO NO RESPIRAR APUÑALANDO AYUDA RÁPIDO
32|Victima|28|Caotico|trauma|NO MAMES TRÁILER ESTAMPÉ PIERNAS BORROSO AYUDAME
33|Victima|31|Caotico|trauma|ME MORIR MOTO VOLÉ CARNE BRAZO SANGRE NO PARA AYUDA RÁPIDO
34|Victima|33|Caotico|herida_balazo|DISPARO PIERNA SANGRE MAREADO DESMAYAR AYUDA AYUDA
35|Victima|29|Caotico|hemorragia_grave|NECESITO AYUDA MANTARRAYA PIE SANGRE DUELE PIERNA AYUDA AYUDA
36|Victima|30|Caotico|intoxicacion|PANZA EXPLOTA DOLOR FUERTE SUDOR FRÍO AYUDA AYUDA
37|Victima|34|Caotico|hemorragia_grave|SANGRE MANO NO PARA VEO BORROSO MAREADO AYUDA RÁPIDO
38|Victima|27|Caotico|trauma|MUÑECA QUEBRADA HUESO SANGRE DEDOS NO MUEVO AYUDA
39|Victima|32|Caotico|trauma|HOPSITAL CABEZA SANGRE CHINGO DESMAYAR AYUDA AYUDA
40|Victima|28|Caotico|hemorragia_grave|NECESITO AYUDA CUCHILLO BRAZO SANGRE NO PARA MAREADO AYUDA AYUDA
41|Testigo|32|Neutral|trauma|Mi compa se cayó del andamio está en el suelo y no se mueve
42|Testigo|28|Neutral|trauma|Mi amigo del copiloto no respira después del choque
43|Testigo|30|Neutral|convulsion|Mi novia se desmayó y está convulsionando en el antro no sé que hacer
44|Testigo|33|Neutral|intoxicacion|Mi roomie se tomó pastillas y no despierta respira muy lento no sé que hacer
45|Testigo|29|Neutral|trauma|Mi hermano voló de la moto y está en el suelo con el brazo doblado
46|Testigo|34|Neutral|trauma|A mi compañero le cayó un tubo en la cabeza y está inconsciente
47|Testigo|27|Neutral|ahogamiento|Mi amigo se metió al río y no salió ya van como 3 minutos
48|Testigo|31|Neutral|intoxicacion|Mi cuate tomó mucho y no responde está pálido y vomita
49|Testigo|28|Neutral|ataque_cardiaco|Siento como si me estuvieran acuchillando tengo mucho dolor el pecho y me duele el estómago necesito ir al hospital
50|Testigo|35|Neutral|anafilaxia|Mi vecina se está poniendo morada por un camarón que comió
51|Testigo|34|Emocional|trauma|Mi carnal se cayó del segundo piso No respira y tiene sangre en la boca estoy desesperado
52|Testigo|29|Emocional|trauma|Mi morra quedó prensada en el coche No responde y tiene un fierro en la pierna ayudame güey
53|Testigo|31|Emocional|derrame_cerebral|Mi jefe se desmayó en la oficina No respira y está pálido tengo mucho miedo
54|Testigo|27|Emocional|trauma|Mi cuate se cayó con la barra en el cuello Está morado y no respira está grave
55|Testigo|33|Emocional|intoxicacion|Mi roomie no despierta Está tieso y no respira no sé qué pedo llamen a una ambulancia
56|Testigo|30|Emocional|trauma|Mi compa se cayó en la obra Sangra de la nariz y no se mueve estoy muy asustado
57|Testigo|35|Emocional|trauma|Mi amigo no respira Tiene sangre en la boca después del choque no sé si está vivo
58|Testigo|28|Emocional|convulsion|Ayudame Mi novia se desmayó Está convulsionando y echando espuma no sé qué hacer
59|Testigo|32|Emocional|intoxicacion|Mi roomie no despierta Respira muy lento y hace ruidos raros se va a morir tengo mucho miedo
60|Testigo|34|Emocional|trauma|Mi hermano voló de la moto Tiene el brazo doblado y sangra mucho ayuda
61|Testigo|29|Caotico|trauma|CARNAL SEGUNDO PISO NO RESPIRA SANGRE AYUDA AYUDA
62|Testigo|31|Caotico|trauma|MORRA PRENSADA FIERRO PIERNA NO RESPONDE WE
63|Testigo|28|Caotico|derrame_cerebral|JEFE DESMAYADO NO RESPIRA PÁLIDO AYUDA AYUDA
64|Testigo|33|Caotico|trauma|CARNAL BARRA CUELLO CULERO MORADO NO RESPIRA AYUDA
65|Testigo|30|Caotico|intoxicacion|SE MORIR ROOMIE TIESO NO RESPIRA AMBULANCIA AYUDA
