id|rol|edad|estilo|text
1|Victima|28|Neutral|Me siento muy mal no sé qué me pasa
2|Victima|32|Neutral|Ayuda algo está pasando con mi papá
3|Victima|25|Neutral|No me siento bien tengo miedo
4|Victima|30|Neutral|Mi mamá no se siente bien no sé qué hacer
5|Victima|27|Neutral|Algo pasó no sé cómo explicarlo
6|Victima|35|Neutral|Necesito ayuda pero no sé con quién hablar
7|Victima|29|Neutral|Me siento extraño pero no sé qué es
8|Victima|33|Neutral|Mi hermano se puso raro no sé qué pasó
9|Victima|26|Neutral|Me pasó algo pero no sé cómo decirlo
10|Victima|34|Neutral|Alguien ayúdeme no sé qué está ocurriendo
11|Victima|31|Neutral|Estoy preocupado no sé qué está pasando
12|Victima|27|Neutral|Mi hijo está actuando extraño no sé si es grave
13|Victima|36|Neutral|No entiendo lo que está pasando
14|Victima|24|Neutral|Me siento extraño necesito ayuda
15|Victima|38|Emocional|No sé qué está pasando Estoy muy asustado
16|Victima|29|Emocional|Ayuda No sé qué hacer esto es muy extraño
17|Victima|33|Emocional|Mi mamá no se siente bien y no sé por qué
18|Victima|31|Emocional|Estoy muy preocupado No sé qué está ocurriendo
19|Victima|27|Emocional|Algo malo está pasando pero no sé qué
20|Victima|35|Emocional|No sé qué hacer esto es muy extraño
21|Victima|30|Emocional|Mi papá está muy raro tengo miedo y no sé qué pasa
22|Victima|28|Caotico|NO SÉ QUÉ PASÓ NO ENTIENDO AYUDA
23|Victima|32|Caotico|EXTRAÑO NO SÉ QUÉ HACER AYUDA AYUDA
24|Victima|26|Caotico|NO ENTIENDO QUÉ PASA NO SÉ QUÉ HACER
25|Victima|35|Caotico|ALGO PASA NO SÉ EXPLICAR AYUDA
26|Victima|9|Infantil|Algo raro está pasando no sé qué es tengo miedo
27|Victima|10|Infantil|Mi hermana se puso rara no sé qué le pasa ayudame
28|Victima|8|Infantil|No sé qué está pasando tengo miedo llamen a alguien
29|Victima|11|Infantil|Algo malo pasó no sé qué hacer ayudame porfa
30|Victima|34|Formal|Me siento raro
31|Victima|38|Formal|Algo está mal porfavor ayuda
32|Victima|30|Formal|Necesito ayuda pero no sé que me pasa
33|Victima|36|Formal|Necesito tu ayuda
34|Victima|27|Slang|Wey no sé qué pasó pero algo está raro
35|Victima|29|Slang|No mames no entiendo qué está pasando necesito tu ayuda
36|Victima|25|Errores|No se que pasa esrtoy confundido y tengo miedo
37|Victima|32|Neutral|Mi esposa está rara no sé qué le pasa
38|Victima|28|Neutral|Algo me preocupa pero no sé explicar qué
39|Victima|34|Neutral|No entiendo qué está pasando con mi cuerpo
40|Victima|30|Neutral|Me estoy sitiendo un poco extraño
41|Testigo|28|Neutral|Mi amigo se puso raro de repente no sé qué pasó
42|Testigo|32|Neutral|Algo le pasó a mi hermano pero no sé qué
43|Testigo|25|Neutral|No sé qué pasó pero mi papá está muy extraño
44|Testigo|29|Neutral|Mi mamá se ve mal no sé qué tiene
45|Testigo|35|Emocional|Mi amigo se ve muy mal algo tiene
46|Testigo|27|Caotico|NO SÉ QUÉ PASÓ PERO ALGO PASÓ AYUDA
47|Testigo|10|Infantil|Mi hermanito se puso raro no sé qué le pasa tengo miedo
48|Testigo|36|Formal|Mi amiga se siente mal no sé que pasa
49|Testigo|33|Slang|Wey no sé qué pasó pero algo está mal
50|Testigo|28|Errores|No se que paso pero algo extraño pasa
51|Testigo|30|Neutral|No se que pasó pero mi amigo se siente mal
52|Testigo|16|Neutral|Mi amigo está pálido y se ve un poco mal
53|Testigo|15|Neutral|No sé que pasa mi amiga está tirada
54|Testigo|18|Neutral|Algo le pasa a mi hermana
