id|rol|edad|emocion|categoria_x|text
1|Victima|28|neutral|ataque_cardiaco|Me duele mucho el pecho como si alguien me estuviera apuñalando no puedo respirar, ¿qué hago?
2|Victima|32|neutral|trauma|Iba manejando y un camión me chocó de frente el volante me aplastó el pecho tengo mucho dolor
3|Victima|27|neutral|trauma|Me caí de la moto en la carretera tengo raspado todo el brazo y veo la carne
4|Victima|30|neutral|trauma|Me cayó una lámina en la obra me aplastó la pierna y no la siento
5|Victima|29|neutral|hemorragia_grave|Me picó una mantarraya en la playa no dejo de sangrar y me duele la pierna, ¿qué hago?
6|Victima|33|neutral|intoxicacion|Me dio un dolor en la panza bien gacho como si me explotara algo, ¿qué hago?
7|Victima|26|miedo|hemorragia_grave|Me corté la mano con una sierra no para de sangrar y me estoy mareando, tengo mucho miedo
8|Victima|31|neutral|trauma|Me resbalé en el baño y me quebré la muñeca el hueso se ve atravesado, ¿qué hago?
9|Victima|28|miedo|herida_balazo|Me dispararon en la pierna en la colonia no para de sangrar y creo que me voy a desmayar, por favor ayúdenme
10|Victima|34|neutral|trauma|Me cayó un block en la cabeza me duele muy fuerte y estoy sangrando un chingo, qué hago
11|Victima|29|neutral|hemorragia_grave|Tuve una pelea con mi esposa me golpeó y me cortó el brazo y no para de sangrar, ¿qué hago?
12|Victima|35|neutral|ataque_cardiaco|Me dio un dolor muy fuerte en el pecho que me sube al brazo y la mandíbula, ¿qué hago?
13|Victima|30|neutral|trauma|Iba en mi moto y un coche no me vio me estrellé contra la puerta
14|Victima|27|miedo|ataque_cardiaco|Estaba en mi casa y de repente me dio un dolor bien cabrón en el pecho, tengo miedo
15|Victima|33|neutral|trauma|Me cayó una tabla con clavos en la pierna se me atravesó y no deja de sangrar
16|Victima|31|neutral|trauma|Iba manejando y se me metió un tráiler me estampé contra el muro me duele todo el cuerpo
17|Victima|28|miedo|hemorragia_grave|Estaba cortando con un cuchillo y me corté no para la sangre y veo blanco, tengo mucho miedo
18|Victima|32|neutral|trauma|Me caí de un segundo piso en la obra me duele la espalda y no siento mis piernas, ¿qué hago?
19|Victima|29|miedo|anafilaxia|Me picó un alacrán en el pie se me está hinchando la garganta, no sé qué hacer
20|Victima|34|neutral|intoxicacion|Traigo un dolor en la panza que no aguanto como si me estuvieran retorciendo las tripas, ¿qué hago?
21|Victima|27|panico|ataque_cardiaco|¡AYUDA! ¡ME DUELE EL PECHO! ¡NO PUEDO RESPIRAR! ¡SIENTO QUE ME VOY A MORIR!
22|Victima|32|panico|trauma|¡NO MAMES! ¡CHOCAMOS! ¡NO SIENTO LAS PIERNAS! ¡AYUDA!
23|Victima|30|panico|trauma|¡ME CAÍ DE LA MOTO Y VEO LA CARNE! ¡NO PARA DE SANGRAR! ¡AYUDA!
24|Victima|28|panico|herida_balazo|¡ME DISPARARON! ¡NO PARA DE SANGRAR! ¡ME VOY A MORIR!
25|Victima|33|miedo|hemorragia_grave|Me picó una mantarraya y no dejo de sangrar, tengo mucho dolor, dios mío
26|Victima|29|panico|intoxicacion|¡CREO QUE ME VOY A MORIR! ¡ME DUELE LA PANZA HORRIBLE! ¡AYUDA!
27|Victima|31|panico|hemorragia_grave|¡NECESITO AYUDA! ¡ME CORTÉ LA MANO Y NO PARA LA SANGRE! ¡TENGO MUCHO MIEDO!
28|Victima|34|miedo|trauma|Ayúdame porfavor me quebré la muñeca, el hueso se ve atravesado y sangra, tengo miedo
29|Victima|27|panico|trauma|¡ME CAYÓ UN BLOCK EN LA CABEZA! ¡ESTOY SANGRANDO CABRÓN! ¡AYUDA!
30|Victima|32|panico|hemorragia_grave|¡NECESITO AYUDA! ¡MI ESPOSA ME CORTÓ EL BRAZO! ¡NO PARA DE SANGRAR!
31|Victima|35|panico|ataque_cardiaco|¡AYUDAME! ¡AYUDAME! ¡DOLOR EN EL PECHO! ¡NO PUEDO RESPIRAR! ¡APUÑALANDO!
32|Victima|28|panico|trauma|¡NO MAMES! ¡TRÁILER! ¡ESTAMPÉ! ¡PIERNAS! ¡AYUDAME!
33|Victima|31|panico|trauma|¡ME MORIR! ¡MOTO! ¡CARNE! ¡SANGRE! ¡AYUDA!
34|Victima|33|panico|herida_balazo|¡DISPARO! ¡PIERNA! ¡SANGRE! ¡MAREADO! ¡AYUDA!
35|Victima|29|panico|hemorragia_grave|¡NECESITO AYUDA! ¡MANTARRAYA! ¡SANGRE! ¡AYUDA!
36|Victima|30|panico|intoxicacion|¡PANZA EXPLOTA! ¡DOLOR! ¡SUDOR! ¡AYUDA!
37|Victima|34|panico|hemorragia_grave|¡SANGRE! ¡MANO! ¡NO PARA! ¡AYUDA!
38|Victima|27|panico|trauma|¡MUÑECA QUEBRADA! ¡HUESO! ¡SANGRE! ¡AYUDA!
39|Victima|32|panico|trauma|¡HOSPITAL! ¡CABEZA! ¡SANGRE! ¡DESMAYAR! ¡AYUDA!
40|Victima|28|panico|hemorragia_grave|¡CUCHILLO! ¡BRAZO! ¡SANGRE! ¡AYUDA!
41|Testigo|32|neutral|trauma|Mi compa se cayó del andamio está en el suelo y no se mueve, ¿qué hago?
42|Testigo|28|neutral|trauma|Mi amigo no respira después del choque ¿qué hago?
43|Testigo|30|ansiedad|convulsion|Mi novia se desmayó y está convulsionando en el antro no sé que hacer, estoy muy preocupado
44|Testigo|33|ansiedad|intoxicacion|Mi roomie se tomó pastillas y no despierta respira muy lento no sé qué hacer
45|Testigo|29|neutral|trauma|Mi hermano voló de la moto y está en el suelo con el brazo doblado, ¿qué hago?
46|Testigo|34|neutral|trauma|A mi compañero le cayó un tubo en la cabeza y está inconsciente
47|Testigo|27|ansiedad|ahogamiento|Mi amigo se metió al río y no salió ya van como 3 minutos, no sé qué hacer
48|Testigo|31|ansiedad|intoxicacion|Mi cuate tomó mucho y no responde está pálido y vomita, estoy muy preocupado
49|Testigo|28|miedo|ataque_cardiaco|Siento como si me estuvieran acuchillando tengo mucho dolor en el pecho y me duele el estómago, tengo miedo
