id,rol,estado,edad,estilo,usuario_input
1,Victima,CDMX,30,Neutral,"Llevo varias horas caminando bajo el sol, me duele la cabeza y tengo mucha sed"
2,Victima,Nuevo León,35,Neutral,"Estoy en el cerro me dio mucho frío, tengo escalofríos y no puedo dejar de temblar"
3,Victima,Jalisco,28,Neutral,"Hace mucho calor y no he tomado agua, me siento muy cansado y con náuseas"
4,Victima,CDMX,32,Neutral,"Subí al Nevado de Toluca y me mareé, me duele la cabeza y me cuesta respirar"
5,Victima,Quintana Roo,25,Neutral,"Estuve en la playa todo el día, tengo la piel quemada y me duele mucho"
6,Victima,Guanajuato,40,Neutral,"Llevo horas trabajando en el sol, me siento débil y tengo calambres en las piernas"
7,Victima,CDMX,29,Neutral,"Estuve caminando muchas horas tengo la piel roja y me duele la cabeza"
8,Victima,Querétaro,33,Neutral,"Me perdí en el cerro y pasé la noche sin abrigo, tengo mucho frío y no puedo mover bien los dedos ni las manos."
9,Victima,Puebla,26,Neutral,"Llevo todo el día en la obra hace mucho calor, me siento mareado y tengo ganas de vomitar"
10,Victima,Morelos,34,Neutral,"Subí al Popocatépetl y me sentí mal, me duele la cabeza y me falta el aire"
11,Victima,CDMX,31,Neutral,"Hace mucho calor y estoy sudando demasiado, me siento cansado y me punza la cabeza"
12,Victima,Nuevo León,27,Neutral,"Estuve bajo la lluvia todo el día, ahora tengo escalofríos y me tiembla el cuerpo"
13,Victima,Jalisco,36,Neutral,"Caminé mucho bajo el sol y ahora me duele mucho la cabeza y tengo mucha sed"
14,Victima,CDMX,24,Neutral,"Me quedé sin agua en el cerro, tengo la boca seca y me siento muy débil"
15,Victima,CDMX,38,Emocional,"¡Llevo horas bajo el sol y me siento muy mal! Me duele la cabeza y tengo muchas náuseas"
16,Victima,Nuevo León,29,Emocional,"¡No he tomado agua en todo el día! Me siento muy débil y me tiembla el cuerpo"
17,Victima,Jalisco,33,Emocional,"¡Tengo mucho frío! No puedo dejar de temblar y no siento bien mis manos"
18,Victima,CDMX,31,Emocional,"¡Me duele la cabeza horrible! Llevo todo el día en el sol y me siento muy mareado"
19,Victima,Quintana Roo,27,Emocional,"¡Estoy sudando demasiado y no puedo respirar bien! El calor está insoportable"
20,Victima,Guanajuato,35,Emocional,"¡Me dio un calor muy fuerte y casi me desmayo! Estoy mareado y me tiembla todo"
21,Victima,CDMX,30,Emocional,"¡Tengo mucho frío y no puedo calentarme! Me tiembla todo el cuerpo, no sé qué hacer"
22,Victima,CDMX,28,Caotico,"¡CALOR FUERTE DOLOR CABEZA NÁUSEA NO AGUANTO AYUDA!"
23,Victima,Nuevo León,32,Caotico,"¡FRÍO EXTREMO TIEMBLO NO PARO DEDOS NO SIENTO AYUDA!"
24,Victima,Jalisco,26,Caotico,"¡DESHIDRATADO SED MUCHA DÉBIL NO CAMINO AYUDA!"
25,Victima,CDMX,35,Caotico,"¡MAREADO CALOR VOMITAR NO PUEDO LEVANTARME AYUDA!"
