id,grupo_edad,rol,estado,edad,estilo,usuario_input
1,25-35,Victima,CDMX,28,Neutral,"Me duele mucho el pecho como si alguien me estuviera apuñalando, no puedo respirar."
2,25-35,Victima,Nuevo León,32,Neutral,"Iba manejando y un camión me chocó de frente, el volante me aplastó el pecho"
3,25-35,Victima,Jalisco,27,Neutral,"Me caí de la moto en la carretera, tengo raspado todo el brazo y veo la carne"
4,25-35,Victima,CDMX,30,Neutral,"Me cayó una lámina en la obra, me aplastó la pierna y no la siento"
5,25-35,Victima,Quintana Roo,29,Neutral,"Me picó una mantarraya en la playa, no dejo de sangrar y me duele la pierna"
6,25-35,Victima,Guanajuato,33,Neutral,"Me dio un dolor en la panza bien gacho, como si me explotara algo"
7,25-35,Victima,CDMX,26,Neutral,"Me corté la mano con una sierra, no para de sangrar y me estoy mareando"
8,25-35,Victima,Querétaro,31,Neutral,"Me resbalé en el baño y me quebré la muñeca, el hueso se ve atravesado"
9,25-35,Victima,Puebla,28,Neutral,"Me dispararon en la pierna en la colonia, no para de sangrar y creo que me voy a desmayar"
10,25-35,Victima,Morelos,34,Slang,"Me cayó un block en la cabeza, me duele muy fuerte y estoy sangrando un chingo"
11,25-35,Victima,CDMX,29,Neutral,"Tuve una pelea con mi esposa me golpeó y me cortó el brazo y no para de sangrar"
12,25-35,Victima,Nuevo León,35,Neutral,"Me dio un dolor muy fuerte en el pecho que me sube al brazo y la mandíbula"
13,25-35,Victima,Jalisco,30,Neutral,"Iba en mi moto y un coche no me vio, me estrellé contra la puerta"
14,25-35,Victima,CDMX,27,Slang,"Estaba en mi casa y de repente me dio un dolor bien cabrón en el pecho"
15,25-35,Victima,Estado de México,33,Neutral,"Me cayó una tabla con clavos en la pierna, se me atravesó y no deja de sangrar"
16,25-35,Victima,CDMX,31,Neutral,"Iba manejando y se me metió un tráiler me estampé contra el muro, me duele todo el cuerpo"
17,25-35,Victima,Nuevo León,28,Neutral,"Estaba cortando con un cuchillo y me corté, no para la sangre y veo blanco"
18,25-35,Victima,Jalisco,32,Neutral,"Me caí de un segundo piso en la obra, me duele la espalda y no siento mis piernas"
19,25-35,Victima,CDMX,29,Neutral,"Me picó un alacrán en el pie se me está hinchando la garganta"
20,25-35,Victima,Querétaro,34,Neutral,"Traigo un dolor en la panza que no aguanto, como si me estuvieran retorciendo las tripas"
21,25-35,Victima,CDMX,27,Emocional,"¡Ayuda necesito ir al hospital! Me duele el pecho bien culero, no puedo respirar, ¡siento que me voy a morir!"
22,25-35,Victima,Nuevo León,32,Emocional,"¡No mames! Choqué con un tráiler, no siento las piernas y veo borroso, ¡tengo mucho miedo!"
23,25-35,Victima,Jalisco,30,Emocional,"¡Me caí de la moto y veo la carne del brazo! No para de sangrar, ¡me duele cabrón!"
