id|rol|edad|emocion|categoria_x|text
1|Victima|28|neutral|confuso|Me siento muy mal no sé qué me pasa
2|Victima|32|neutral|confuso|Ayuda algo está pasando con mi papá
3|Victima|25|neutral|confuso|No me siento bien tengo miedo
4|Victima|30|neutral|confuso|Mi mamá no se siente bien no sé qué hacer
5|Victima|27|neutral|confuso|Algo pasó no sé cómo explicarlo
6|Victima|35|neutral|confuso|Necesito ayuda pero no sé con quién hablar
7|Victima|29|neutral|confuso|Me siento extraño pero no sé qué es
8|Victima|33|neutral|confuso|Mi hermano se puso raro no sé qué pasó
9|Victima|26|neutral|confuso|Me pasó algo pero no sé cómo decirlo
10|Victima|34|neutral|confuso|Alguien ayúdeme no sé qué está ocurriendo
11|Victima|31|neutral|confuso|Estoy preocupado no sé qué está pasando
12|Victima|27|neutral|confuso|Mi hijo está actuando extraño no sé si es grave
13|Victima|36|neutral|confuso|No entiendo lo que está pasando
14|Victima|24|neutral|confuso|Me siento extraño necesito ayuda
15|Victima|38|miedo|confuso|No sé qué está pasando Estoy muy asustado
16|Victima|29|miedo|confuso|Ayuda No sé qué hacer esto es muy extraño
17|Victima|33|miedo|confuso|Mi mamá no se siente bien y no sé por qué
18|Victima|31|miedo|confuso|Estoy muy preocupado No sé qué está ocurriendo
19|Victima|27|miedo|confuso|Algo malo está pasando pero no sé qué
20|Victima|35|miedo|confuso|No sé qué hacer esto es muy extraño
21|Victima|30|miedo|confuso|Mi papá está muy raro tengo miedo y no sé qué pasa
22|Victima|28|panico|confuso|NO SÉ QUÉ PASÓ NO ENTIENDO AYUDA
23|Victima|32|panico|confuso|EXTRAÑO NO SÉ QUÉ HACER AYUDA AYUDA
24|Victima|26|panico|confuso|NO ENTIENDO QUÉ PASA NO SÉ QUÉ HACER
25|Victima|35|panico|confuso|ALGO PASA NO SÉ EXPLICAR AYUDA
26|Victima|9|confusion|confuso|Algo raro está pasando no sé qué es tengo miedo
27|Victima|10|confusion|confuso|Mi hermana se puso rara no sé qué le pasa ayudame
28|Victima|8|confusion|confuso|No sé qué está pasando tengo miedo llamen a alguien
29|Victima|11|confusion|confuso|Algo malo pasó no sé qué hacer ayudame porfa
30|Victima|34|neutral|confuso|Me siento raro
31|Victima|38|neutral|confuso|Algo está mal porfavor ayuda
32|Victima|30|neutral|confuso|Necesito ayuda pero no sé que me pasa
33|Victima|36|neutral|confuso|Necesito tu ayuda
34|Victima|27|ansiedad|confuso|Wey no sé qué pasó pero algo está raro
35|Victima|29|ansiedad|confuso|No mames no entiendo qué está pasando necesito tu ayuda
36|Victima|25|confusion|confuso|No se que pasa esrtoy confundido y tengo miedo
37|Victima|32|neutral|confuso|Mi esposa está rara no sé qué le pasa
38|Victima|28|neutral|confuso|Algo me preocupa pero no sé explicar qué
39|Victima|34|neutral|confuso|No entiendo qué está pasando con mi cuerpo
40|Victima|30|neutral|confuso|Me estoy sitiendo un poco extraño
41|Testigo|28|neutral|confuso|Mi amigo se puso raro de repente no sé qué pasó
42|Testigo|32|neutral|confuso|Algo le pasó a mi hermano pero no sé qué
43|Testigo|25|neutral|confuso|No sé qué pasó pero mi papá está muy extraño
44|Testigo|29|neutral|confuso|Mi mamá se ve mal no sé qué tiene
45|Testigo|35|miedo|confuso|Mi amigo se ve muy mal algo tiene
46|Testigo|27|panico|confuso|NO SÉ QUÉ PASÓ PERO ALGO PASÓ AYUDA
47|Testigo|10|confusion|confuso|Mi hermanito se puso raro no sé qué le pasa tengo miedo
48|Testigo|36|neutral|confuso|Mi amiga se siente mal no sé que pasa
49|Testigo|33|ansiedad|confuso|Wey no sé qué pasó pero algo está mal
50|Testigo|28|confusion|confuso|No se que paso pero algo extraño pasa
51|Testigo|30|neutral|confuso|No se que pasó pero mi amigo se siente mal
52|Testigo|16|neutral|confuso|Mi amigo está pálido y se ve un poco mal
53|Testigo|15|neutral|confuso|No sé que pasa mi amiga está tirada
54|Testigo|18|neutral|confuso|Algo le pasa a mi hermana
55|Victima|45|neutral|confuso|No sé qué está pasando pero algo no está bien
56|Victima|52|miedo|confuso|Tengo un mal presentimiento pero no sé por qué
57|Victima|22|ansiedad|confuso|Wey siento que algo está mal pero no sé qué
58|Victima|60|neutral|confuso|No entiendo qué le pasa a mi esposo está muy callado
59|Victima|41|miedo|confuso|Mi hijo está raro no me habla y no sé qué hacer
60|Victima|29|panico|confuso|NO ENTIENDO NADA AYUDA
61|Victima|33|neutral|confuso|Mi mamá se siente mal pero no dice qué tiene
62|Testigo|24|ansiedad|confuso|Wey mi compa está bien raro no sé qué pedo
63|Victima|38|neutral|confuso|Necesito asistencia pero no logro identificar el problema
64|Victima|19|confusion|confuso|No sé qué pasa pero tengo miedo
65|Victima|47|neutral|confuso|Mi hermana está llorando y no sé por qué
66|Testigo|34|miedo|confuso|Mi amigo no responde bien no sé si está bien
67|Victima|26|confusion|confuso|No see que pasa estoy confundido
68|Victima|55|neutral|confuso|Algo me preocupa pero no sé qué es
69|Victima|21|ansiedad|confuso|No mames no entiendo qué onda
70|Testigo|30|panico|confuso|NO SÉ QUÉ HACER AYUDA AYUDA
71|Victima|49|neutral|confuso|Mi esposa se comporta extraño no sé qué le ocurre
72|Victima|18|miedo|confuso|Tengo mucho miedo no sé qué está pasando
73|Testigo|27|neutral|confuso|Requiero ayuda pero no puedo precisar la naturaleza del problema
74|Victima|62|neutral|confuso|No sé qué le pasa a mi cuerpo me siento débil
75|Victima|35|ansiedad|confuso|Wey algo está raro no sé qué pedo
76|Victima|12|confusion|confuso|Algo malo pasó y no sé qué hacer
77|Testigo|45|miedo|confuso|Mi papá está muy extraño no sé qué tiene
78|Victima|28|confusion|confuso|No se que me pasa siento algo raro
79|Victima|33|neutral|confuso|No entiendo por qué mi hermano se puso así
80|Testigo|22|panico|confuso|NO ENTIENDO QUÉ PASA CON MI AMIGO AYUDA
81|Victima|40|neutral|confuso|Mi mamá dice que no se siente bien pero no me dice más
82|Victima|26|ansiedad|confuso|Wey no sé qué onda con mi cuerpo
83|Victima|50|neutral|confuso|Me encuentro desconcertado sin poder identificar la causa
84|Testigo|19|confusion|confuso|Mi hermana está rara no sé qué le pasa
85|Victima|34|miedo|confuso|Siento que algo malo va a pasar pero no sé qué
86|Victima|29|panico|confuso|NO SÉ QUÉ ME PASA AYUDA
87|Testigo|31|neutral|confuso|Mi novio se puso raro no sé qué le pasó
88|Victima|44|ansiedad|confuso|Wey me siento bien extraño no sé qué es
89|Victima|23|confusion|confuso|No se que pasa me siento mal
90|Testigo|37|miedo|confuso|Mi mamá está muy angustiada y no sé por qué
91|Victima|53|neutral|confuso|No sé qué le ocurre a mi marido está muy callado
92|Victima|20|panico|confuso|NO ENTIENDO NADA DE LO QUE PASA
93|Testigo|42|neutral|confuso|Observo un comportamiento inusual en mi acompañante sin causa aparente
94|Victima|48|neutral|confuso|Mi hija está llorando y no sé qué le pasa
95|Victima|17|ansiedad|confuso|No mames no sé qué está pasando
96|Testigo|25|miedo|confuso|Mi amigo se ve mal pero no sé qué tiene
97|Victima|56|neutral|confuso|Algo no está bien pero no sé qué es
98|Victima|32|confusion|confuso|No se que pasa mi cuerpo esta raro
99|Testigo|39|neutral|confuso|Mi compañero se comporta de forma extraña sin motivo
100|Victima|46|panico|confuso|NO SÉ QUÉ HACER NO ENTIENDO NADA
101|Victima|30|neutral|confuso|Mi mamá se...
102|Victima|35|neutral|confuso|Ayuda, mi papá está...
103|Testigo|28|neutral|confuso|Mi amigo no...
104|Victima|22|miedo|confuso|Creo que algo...
105|Victima|40|neutral|confuso|Mi esposa se cayó y...
106|Testigo|33|miedo|confuso|¡Mi hermano está!
107|Victima|27|panico|confuso|¡AYUDA! ¡NO PUEDO!
108|Victima|50|neutral|confuso|El doctor dijo que...
109|Testigo|45|ansiedad|confuso|Wey, mi compa se puso...
110|Victima|31|neutral|confuso|Solicito asistencia porque...
111|Victima|29|confusion|confuso|Mi mamá no...
112|Testigo|26|confusion|confuso|Mi amigo se siente...
113|Victima|38|miedo|confuso|¡No puedo!
114|Victima|44|neutral|confuso|Mi papá se lastimó y...
115|Testigo|34|panico|confuso|¡ELLA ESTÁ!
116|Victima|52|ansiedad|confuso|Wey, mi vieja...
117|Victima|23|neutral|confuso|No sé...
118|Testigo|36|neutral|confuso|Observo que mi compañero...
119|Victima|47|miedo|confuso|¡Ayuda por favor!
120|Victima|19|confusion|confuso|Mi hermana...
121|Testigo|29|confusion|confuso|Mi amigo esta...
122|Victima|55|neutral|confuso|Mi marido dice que...
123|Victima|25|panico|confuso|¡AYUDA CON!
124|Testigo|41|ansiedad|confuso|Wey, mi compa...
125|Victima|34|miedo|confuso|¡No sé qué hacer!
126|Victima|60|neutral|confuso|Mi esposa se queja de...
127|Testigo|32|neutral|confuso|Mi acompañante presenta...
128|Victima|28|confusion|confuso|Mi papá me dijo...
129|Victima|43|neutral|confuso|Mi hermana está con...
130|Testigo|30|panico|confuso|¡NO PUEDO CON!
131|Victima|37|ansiedad|confuso|Wey, mi jefe...
132|Victima|21|confusion|confuso|No se que...
133|Testigo|49|miedo|confuso|¡Mi mamá se!
134|Victima|54|neutral|confuso|Mi hijo se cayó y...
135|Victima|26|neutral|confuso|Necesito ayuda porque...
136|Testigo|35|confusion|confuso|Mi amigo se puso...
137|Victima|39|panico|confuso|¡AYUDA RÁPIDO!
138|Victima|46|ansiedad|confuso|Wey, no mames...
139|Testigo|28|miedo|confuso|¡Mi amigo está muy!
