id|grupo|rol|edad|estilo|text
1|25-35|Victima|28|Neutral|Me duele mucho el pecho como si alguien me estuviera apuñalando no puedo respirar
2|25-35|Victima|32|Neutral|Iba manejando y un camión me chocó de frente el volante me aplastó el pecho
3|25-35|Victima|27|Neutral|Me caí de la moto en la carretera tengo raspado todo el brazo y veo la carne
4|25-35|Victima|30|Neutral|Me cayó una lámina en la obra me aplastó la pierna y no la siento
5|25-35|Victima|29|Neutral|Me picó una mantarraya en la playa no dejo de sangrar y me duele la pierna
6|25-35|Victima|33|Neutral|Me dio un dolor en la panza bien gacho como si me explotara algo
7|25-35|Victima|26|Neutral|Me corté la mano con una sierra no para de sangrar y me estoy mareando
8|25-35|Victima|31|Neutral|Me resbalé en el baño y me quebré la muñeca el hueso se ve atravesado
9|25-35|Victima|28|Neutral|Me dispararon en la pierna en la colonia no para de sangrar y creo que me voy a desmayar
10|25-35|Victima|34|Slang|Me cayó un block en la cabeza me duele muy fuerte y estoy sangrando un chingo
11|25-35|Victima|29|Neutral|Tuve una pelea con mi esposa me golpeó y me cortó el brazo y no para de sangrar
12|25-35|Victima|35|Neutral|Me dio un dolor muy fuerte en el pecho que me sube al brazo y la mandíbula
13|25-35|Victima|30|Neutral|Iba en mi moto y un coche no me vio me estrellé contra la puerta
14|25-35|Victima|27|Slang|Estaba en mi casa y de repente me dio un dolor bien cabrón en el pecho
15|25-35|Victima|33|Neutral|Me cayó una tabla con clavos en la pierna se me atravesó y no deja de sangrar
16|25-35|Victima|31|Neutral|Iba manejando y se me metió un tráiler me estampé contra el muro me duele todo el cuerpo
17|25-35|Victima|28|Neutral|Estaba cortando con un cuchillo y me corté no para la sangre y veo blanco
18|25-35|Victima|32|Neutral|Me caí de un segundo piso en la obra me duele la espalda y no siento mis piernas
19|25-35|Victima|29|Neutral|Me picó un alacrán en el pie se me está hinchando la garganta
20|25-35|Victima|34|Neutral|Traigo un dolor en la panza que no aguanto como si me estuvieran retorciendo las tripas
21|25-35|Victima|27|Emocional|Ayuda necesito ir al hospital Me duele el pecho bien culero no puedo respirar siento que me voy a morir
22|25-35|Victima|32|Emocional|No mames Choqué con un tráiler no siento las piernas y veo borroso tengo mucho miedo
23|25-35|Victima|30|Emocional|Me caí de la moto y veo la carne del brazo No para de sangrar me duele cabrón
24|25-35|Victima|28|Emocional|Me voy a morir No paro de sangrar y me siento mareado creo que me voy a desmayar Me dispararon
25|25-35|Victima|33|Emocional|Me picó una mantarraya y no dejo de sangrar tengo mucho dolor ayuda
26|25-35|Victima|29|Emocional|Creo que me voy a morir Me duele la panza horrible No me puedo parar y estoy sudando frío me duele todo
27|25-35|Victima|31|Emocional|Necesito ayuda Me corté la mano y no para la sangre Veo todo blanco tengo mucho miedo
28|25-35|Victima|34|Emocional|Ayúdame porfavor me quebré la muñeca El hueso se ve atravesado y sangra no puedo mover los dedos
29|25-35|Victima|27|Emocional|Me cayó un block en la cabeza Estoy sangrando cabrón y siento que me voy a desmayar ayuda
30|25-35|Victima|32|Emocional|Necesito ayuda Mi esposa me cortó el brazo con un cuchillo No para de sangrar veo borroso
31|25-35|Victima|35|Caotico|AYUDAME AYUDAME DOLOR PECHO NO RESPIRAR APUÑALANDO AYUDA RÁPIDO
32|25-35|Victima|28|Caotico|NO MAMES TRÁILER ESTAMPÉ PIERNAS BORROSO AYUDAME
33|25-35|Victima|31|Caotico|ME MORIR MOTO VOLÉ CARNE BRAZO SANGRE NO PARA AYUDA RÁPIDO
34|25-35|Victima|33|Caotico|DISPARO PIERNA SANGRE MAREADO DESMAYAR AYUDA AYUDA
35|25-35|Victima|29|Caotico|NECESITO AYUDA MANTARRAYA PIE SANGRE DUELE PIERNA AYUDA AYUDA
36|25-35|Victima|30|Caotico|PANZA EXPLOTA DOLOR FUERTE SUDOR FRÍO AYUDA AYUDA
37|25-35|Victima|34|Caotico|SANGRE MANO NO PARA VEO BORROSO MAREADO AYUDA RÁPIDO
38|25-35|Victima|27|Caotico|MUÑECA QUEBRADA HUESO SANGRE DEDOS NO MUEVO AYUDA
39|25-35|Victima|32|Caotico|HOPSITAL CABEZA SANGRE CHINGO DESMAYAR AYUDA AYUDA
40|25-35|Victima|28|Caotico|NECESITO AYUDA CUCHILLO BRAZO SANGRE NO PARA MAREADO AYUDA AYUDA
41|25-35|Testigo|32|Neutral|Mi compa se cayó del andamio está en el suelo y no se mueve
42|25-35|Testigo|28|Neutral|Mi amigo del copiloto no respira después del choque
43|25-35|Testigo|30|Neutral|Mi novia se desmayó y está convulsionando en el antro no sé que hacer
44|25-35|Testigo|33|Neutral|Mi roomie se tomó pastillas y no despierta respira muy lento no sé que hacer
45|25-35|Testigo|29|Neutral|Mi hermano voló de la moto y está en el suelo con el brazo doblado
46|25-35|Testigo|34|Neutral|A mi compañero le cayó un tubo en la cabeza y está inconsciente
