id|rol|edad|estilo|text
1|Victima|28|Neutral|Me perdí en el cerro ya no encuentro el sendero y está empezando a oscurecer
2|Victima|32|Neutral|No traigo agua y llevo horas caminando la botella está vacía y tengo mucha sed
3|Victima|25|Neutral|Se está haciendo de noche y no encuentro el camino de regreso al campamento
4|Victima|30|Neutral|Me estoy quedando sin batería y no sé cómo llegar a la carretera
5|Victima|27|Neutral|La tormenta está llegando y no tengo dónde refugiarme
6|Victima|35|Neutral|Perdí el sendero marcado llevo como 2 horas dando vueltas sin encontrar la salida
7|Victima|29|Neutral|No hay señal en el cerro y no puedo pedir ayuda el agua se me está acabando
8|Victima|33|Neutral|Llevo varias horas perdido ya casi anochece y no traigo linterna
9|Victima|26|Neutral|El camino se cerró por un derrumbe no puedo seguir y no sé qué hacer
10|Victima|34|Neutral|Me quedé sin agua y el sol está muy fuerte no sé si pueda llegar a la salida
11|Victima|31|Neutral|Estoy atrapado en la montaña por la tormenta no puedo bajar ni subir
12|Victima|27|Neutral|La niebla está muy espesa y no veo el sendero me estoy desorientando
13|Victima|36|Neutral|Se me acabó la comida y todavía me falta mucho para llegar a la civilización
14|Victima|24|Neutral|El río creció y no puedo cruzarlo estoy atrapado en esta orilla
15|Victima|38|Emocional|Me perdí en el cerro y está oscureciendo Tengo mucho miedo no sé qué hacer
16|Victima|29|Emocional|Se me acabó el agua Estoy desesperado el sol está muy fuerte y no tengo señal
17|Victima|33|Emocional|No encuentro el camino de regreso Estoy asustado ya está oscureciendo y no traje linterna
18|Victima|31|Emocional|La tormenta me atrapó en el cerro No tengo dónde resguardarme tengo mucho miedo
19|Victima|27|Emocional|Perdí el sendero y ya casi anochece Estoy desesperado no sé si pueda salir de aquí
20|Victima|35|Emocional|Se me acabó el agua y llevo horas perdido Tengo mucha sed y me siento muy débil
21|Victima|30|Emocional|El río creció y no puedo cruzarlo Estoy atrapado no sé qué hacer y está oscureciendo
22|Victima|28|Caotico|PERDIDO CERRO OSCURECE NO SEÑAL AYUDA AYUDA
23|Victima|32|Caotico|AGUA SE ACABÓ SED NO CAMINO NO SALIDA AYUDA
24|Victima|26|Caotico|TORMENTA LLEGA NO REFUGIO ATRAPADO AYUDA RÁPIDO
25|Victima|35|Caotico|NIEBLA ESPESA NO VEO SENDERO DESORIENTADO AYUDA
26|Victima|29|Caotico|RÍO CRECIDO ATRAPADO NO CRUZO OSCURECE AYUDA
27|Victima|9|Infantil|Me perdí en el cerro con mi papa no encuentro el camino y tengo miedo porque está oscuro
28|Victima|10|Infantil|Se me acabó el agua y tengo mucha sed no sé dónde estoy ayudame porfavor
29|Victima|8|Infantil|Está lloviendo mucho y no tengo dónde esconderme tengo frío y tengo miedo
